评论,fenci,情感分类,主题概率,主题类型
电池强劲，虽然没有达到9小时，但初次使用觉得6小时应该有的 。,电池 强劲 小时 初次 小时,pos,"[(0, 0.027816728), (1, 0.027805842), (2, 0.8607323), (3, 0.027875422), (4, 0.027840625), (5, 0.027929094)]",2
一、最显著的优点是电池使用时间长；二、配置比较齐全：无线、蓝牙、摄像必备的都有；三、做工还不错，烤漆的也比较漂亮；四、小巧便携，就一本杂志大小，一般书包就能装下；五、品牌还可以，网上的资料相对较全；六、一般情况下硬盘和风扇声音还不算太大。,优点 电池 时间 配置 齐全 无线 蓝牙 摄像 必备 做工 不错 烤漆 漂亮 小巧 便携 一本 杂志 大小 书包 装下 品牌 网上 资料 情况 硬盘 风扇 声音 不算,pos,"[(2, 0.9708998)]",2
相比1000，电池不突出。,相比 电池,pos,"[(0, 0.055640455), (1, 0.055911474), (2, 0.7205437), (3, 0.055851046), (4, 0.055605073), (5, 0.056448225)]",2
7全兼容，只需手动安装驱动。 9全兼容，建议装3，可支持软开关蓝牙无线摄像头。,兼容 手动 安装 驱动 兼容 建议 支持 开关 蓝牙 无线 摄像头,pos,"[(0, 0.013989978), (1, 0.01402425), (2, 0.014055872), (3, 0.014033241), (4, 0.013928432), (5, 0.92996824)]",5
外观设计的好，做工精美，京东快递速度也很迅速，特别是2699-100的价格简直无可挑剔！,外观设计 做工 精美 京东 快递 速度 特别 价格 无可挑剔,pos,"[(0, 0.21975079), (1, 0.016830726), (2, 0.016889067), (3, 0.016753173), (4, 0.7129284), (5, 0.01684787)]",4
用了几天，结果系统崩溃了，到同方检测，发现30％坏道，已经退回换货了，不知道换来的如何,几天 系统 崩溃 同方 检测 发现 退回 换货 换来,pos,"[(0, 0.016740317), (1, 0.016751066), (2, 0.016747888), (3, 0.01676196), (4, 0.916255), (5, 0.016743802)]",4
2699，价格无敌，比电脑卖我问的所谓最低价场足足便宜了300，性能也很不错，待机时间正在测试中，不可能和官方9小时一样，那太理想化了，不过估计7，8个小时问题不大,价格 无敌 电脑 最低价 足足 便宜 性能 不错 待机时间 测试 官方 小时 理想化 估计 小时,pos,"[(0, 0.010467592), (1, 0.010472926), (2, 0.9474495), (3, 0.01051568), (4, 0.010601864), (5, 0.010492417)]",2
用了一个50元券，花了2649入手的，价格而言是无敌了，当然你要是3199入手，价格上就没有优势了，产品秉承了华硕的一贯品质，各方面做工都优于的，为什么要拿微星的来比较，因为之前我买过微星的90和100各一台，应该是具有发言权的，电池更是达到了难以想象的八小时以上，作为上网本，基本上可以横扫其他品牌了，2649的性价比超乎想象！！,元券 入手 价格 无敌 入手 价格 优势 产品 秉承 华硕 一贯 品质 做工 优于 微星 微星 一台 发言权 电池 更是 难以想象 八小时 上网 横扫 品牌 性价比 超乎 想象,pos,"[(2, 0.19396508), (4, 0.78288114)]",4
电池不错，续航时间比较长；带操作系统，对于上网小本来说，功能足够了。,电池 不错 续航 时间 操作系统 上网 本来 功能 足够,pos,"[(0, 0.01688255), (1, 0.21057172), (2, 0.72202957), (3, 0.016831301), (4, 0.016804993), (5, 0.016879873)]",2
东西不错，外观设计的好，做工精美，质量可靠，京东的送货速度很快！,东西 不错 外观设计 做工 精美 质量 可靠 京东 送货 速度 很快,pos,"[(0, 0.3574667), (1, 0.013993568), (2, 0.36140475), (3, 0.0139426915), (4, 0.23920037), (5, 0.013991938)]",2
今天刚收到未用 应该不错 先不枉下评价等用一段时间再给发表使用情况、心得体验给大家提供参考,收到 不错 先不枉下 评价 等用 一段时间 发表 情况 心得 体验 提供 参考,pos,"[(0, 0.9354979), (1, 0.012877337), (2, 0.012895085), (3, 0.012955563), (4, 0.012913068), (5, 0.012861075)]",0
就是冲着电池性能去的，看电影大概能用到5小时以上，用节电模式应该还能再长。机器整体做工不错，键盘用着很舒服。,冲着 电池 性能 电影 用到 小时 节电 模式 机器 整体 做工 不错 键盘 舒服,pos,"[(0, 0.011165854), (1, 0.011166584), (2, 0.9441126), (3, 0.01119358), (4, 0.011186449), (5, 0.011174924)]",2
小本本里面算是比较合理的，赶上特价，心里舒服！！京东购物还是比较愉快的！,本本 算是 赶上 特价 舒服 京东 购物 愉快,pos,"[(0, 0.018586816), (1, 0.018590808), (2, 0.4825639), (3, 0.018582819), (4, 0.443032), (5, 0.018643668)]",2
电池强悍，但也不像传说中的9个小时，实际估计6小时左右；外观精致,电池 强悍 小时 估计 小时 外观 精致,pos,"[(0, 0.020940786), (1, 0.14539771), (2, 0.7705195), (3, 0.021020927), (4, 0.02096103), (5, 0.021160072)]",2
低电状态还能用1个半小时，这款机器太强了，样子也很好看，赶上促销2899拿下，感觉很超值,状态 半小时 机器 样子 好看 赶上 促销 拿下 感觉 超值,pos,"[(0, 0.0152366), (1, 0.015223764), (2, 0.6224507), (3, 0.015206534), (4, 0.31652454), (5, 0.015357809)]",2
电池果然是待机九个小时以上的，使用七个小时左右。难得。,电池 待机 九个 小时 七个 小时,pos,"[(0, 0.024002774), (1, 0.02386272), (2, 0.88019484), (3, 0.024051577), (4, 0.023883771), (5, 0.024004282)]",2
小巧，电池强劲。720的电影都能正常观看。不玩大型3游戏的话。日常应用足够了。送货速度很快。,小巧 电池 强劲 电影 观看 大型 游戏 日常 足够 送货 速度 很快,pos,"[(0, 0.012912275), (1, 0.012901084), (2, 0.44870198), (3, 0.22121106), (4, 0.012899552), (5, 0.29137406)]",2
做功不错；比较轻便。音量比我的61响亮多了，音质很好。其它重量啊、容易沾指纹啊，不是什么问题。,做功 不错 轻便 音量 响亮 音质 重量 指纹,pos,"[(0, 0.018577617), (1, 0.018605303), (2, 0.9066325), (3, 0.018785331), (4, 0.018720102), (5, 0.018679202)]",2
轻巧，电池强劲，键盘尺寸够大，打字不吃力，性能够用，性能不错，摄像头比较垃圾,轻巧 电池 强劲 键盘 尺寸 打字 吃力 性能 不错 摄像头 垃圾,pos,"[(0, 0.013950137), (1, 0.013968752), (2, 0.640636), (3, 0.15385506), (4, 0.013996777), (5, 0.16359325)]",2
工艺设计和做工都不错，电池、无线、散热出色， 280性能超出我的预期，一般应用足够。华硕品质可以的，值得为此多花几百块。,工艺 设计 做工 不错 电池 无线 散热 出色 性能 超出 预期 足够 华硕 品质 值得 几百块,pos,"[(2, 0.950374)]",2
投诉内容： 2009-5-22收到一张发票号码：02840189(上面写着订单号：4491950）金额为：8591元，但是实际上4月9号订单号：4491950 金额应该是：11808元，这样的财务水准是不是有点问题？？？？？？？？？？现在汇款（货款）金额与发票金额不符财务没用办法入账？？？？？？？？？？？？？,投诉 内容 收到 一张 发票 号码 订单号 金额 实际上 订单号 金额 财务 水准 汇款 货款 金额 发票 金额 不符 财务 没用 办法 入账,pos,"[(0, 0.96505755)]",0
小巧玲珑，适合某些场合使用。至于网友说容易留指纹，确实是，但是擦一下就可以了。2990的价格确实低啊，性价比不错。至于重量，还吧，关键是电池重而已。,小巧玲珑 适合 场合 网友 指纹 确实 价格 确实 性价比 不错 重量 关键 电池,pos,"[(0, 0.011972946), (1, 0.0119681265), (2, 0.94013613), (3, 0.011962147), (4, 0.011971241), (5, 0.011989408)]",2
不用烤漆的好了。这次发货很快，25日上午下的单，26日上午就收到货了。很满意,不用 烤漆 发货 很快 上午 上午 收到 满意,pos,"[(0, 0.9061507), (1, 0.01871672), (2, 0.018877003), (3, 0.018814633), (4, 0.018692935), (5, 0.018747997)]",0
外观漂亮，电池比较耐用，硬盘很安静（的，比90的好）,外观 漂亮 电池 耐用 硬盘 安静,pos,"[(0, 0.02396326), (1, 0.023952952), (2, 0.8798927), (3, 0.02421269), (4, 0.023926195), (5, 0.024052186)]",2
280比270提升不少，但最重要的是电池续航时间真的很长，上网、看电影7小时没问题，一个字，爽！！！,提升 电池 续航 时间 真的 上网 电影 小时,pos,"[(0, 0.018573966), (1, 0.01860088), (2, 0.90652823), (3, 0.018713979), (4, 0.0187169), (5, 0.018866025)]",2
强于270的速度，比较出众的持续使用时间，不错的键盘大小和手感。,强于 速度 出众 持续 时间 不错 键盘 大小 手感,pos,"[(0, 0.01679769), (1, 0.016751444), (2, 0.016927438), (3, 0.22007903), (4, 0.01684123), (5, 0.7126032)]",5
昨天到手的 该有的都有 平时上上网用 5便宜了200块买的 满实惠的 不用和人讨价还价拉 就是京东颜色多点就好拉 等了很久都没出粉的 自带正版很好！,昨天 到手 平时 上上网 便宜 实惠 不用 讨价还价 京东 颜色 多点 很久 没出 自带 正版,pos,"[(0, 0.010504171), (1, 0.01051526), (2, 0.947532), (3, 0.010490553), (4, 0.010461387), (5, 0.010496627)]",2
一下子买了2台，同事一台自己一台。。。总体感觉还不错。。电池耐用，屏幕好，键盘好用。,一下子 同事 一台 一台 总体 感觉 不错 电池 耐用 屏幕 键盘,pos,"[(0, 0.013938223), (1, 0.013994477), (2, 0.930023), (3, 0.013996987), (4, 0.014038187), (5, 0.01400905)]",2
送货快算是个优点吧，我是第一次在京东上买东西，感觉像受骗了一样。京东还号称搞活动返券，结果返了150也不能用，提示说只能消费三千才能用这150；像上了贼船一样。,送货 算是 优点 第一次 京东 上买 东西 感觉 受骗 京东 号称 活动 返券 提示 只能 消费 三千 上了贼船,pos,"[(4, 0.9558145)]",4
刚到手还没用，就进不了系统，硬盘有嘎吱响，硬盘肯定震坏了或者怎么的，然后就又要发回去退货，然后再去别的地方拿了一台，哎，郁闷,到手 没用 进不了 系统 硬盘 嘎吱 硬盘 肯定 震坏 发回去 退货 地方 一台 郁闷,pos,"[(0, 0.011177567), (1, 0.011162289), (2, 0.011244387), (3, 0.9438884), (4, 0.011285815), (5, 0.01124156)]",3
外观很棒，全黑的质感我喜欢。,外观 很棒 全黑 质感 喜欢,pos,"[(0, 0.02787082), (1, 0.027889954), (2, 0.86054754), (3, 0.027818967), (4, 0.027915174), (5, 0.027957512)]",2
机器比较实用，外观也不错~~很实用！很喜欢，京东快递很及时，很满意。,机器 实用 外观 不错 实用 喜欢 京东 快递 满意,pos,"[(0, 0.016823946), (1, 0.46224383), (2, 0.47061285), (3, 0.016728612), (4, 0.016837247), (5, 0.016753457)]",2
对比了的那款和这款，最后看中了宏?的三年质保。,那款 这款 看中 三年 质保,pos,"[(0, 0.027864674), (1, 0.02787289), (2, 0.027913764), (3, 0.86070293), (4, 0.027819378), (5, 0.027826345)]",3
屏幕  很薄,屏幕,pos,"[(0, 0.083989255), (1, 0.5790664), (2, 0.08458214), (3, 0.08459118), (4, 0.08368446), (5, 0.084086575)]",1
外观很好很精致，电池续航时间很长，买回来一直在装软件、上网更新，四个多钟头了电池显示还有百分之三十多。另外这一款包装箱里面也带有一个“内胆包”的，不过很薄很简陋，就跟一个薄布袋子差不多。,外观 很好 精致 电池 续航 时间 买回来 软件 上网 更新 四个 钟头 电池 显示 百分之三十 一款 包装箱 带有 内胆 很薄 简陋 布袋子,pos,"[(5, 0.96343315)]",5
外观很好看，样子小巧，键盘没有想象中的小，用起来很舒服，很适合女孩子用.,外观 好看 样子 小巧 键盘 想象 舒服 适合 女孩子,pos,"[(0, 0.016781425), (1, 0.016783435), (2, 0.6672765), (3, 0.016845431), (4, 0.2653965), (5, 0.016916702)]",2
做工不错，性能比想象中的要好，刚刚用，正在研究三星自带软件的功能。,做工 不错 性能比 想象 刚刚 研究 三星 自带 软件 功能,pos,"[(0, 0.52759284), (1, 0.015279576), (2, 0.0154105015), (3, 0.015375758), (4, 0.015322858), (5, 0.4110185)]",0
国际品牌，设计紧密，手感也不错，速度也很快，电池使用时间在5-6个小时，特别是我问了维修站，2009年1月出厂的机器都是保修2年了，电池1年。,国际品牌 设计 紧密 手感 不错 速度 很快 电池 时间 小时 特别 维修站 出厂 机器 保修 电池,pos,"[(2, 0.95055693)]",2
1.虽然小，但是我这个大手用起来还行，键盘的手感可以媲美了。,手用 键盘 手感 媲美,pos,"[(0, 0.03338918), (1, 0.033392336), (2, 0.03344993), (3, 0.8327652), (4, 0.03345129), (5, 0.03355205)]",3
隐藏分区占的少，而且可以格式化。,隐藏 分区 格式化,pos,"[(0, 0.041726347), (1, 0.04170161), (2, 0.041687187), (3, 0.04176209), (4, 0.04180786), (5, 0.7913149)]",5
最大特点当然是小巧，三星的作工不用多说。键盘的手感相当好，外放音量不是很大，高音有点小尖低音不足，如果环境不是太吵闹可以应付正常使用。开机运行状况下很安静，厉害。,小巧 三星 作工 不用 键盘 手感 外放 音量 很大 高音 小尖 低音 环境 吵闹 应付 开机 运行状况 安静 厉害,pos,"[(5, 0.9580319)]",5
小巧，键盘好大，我相当喜欢。系统也很不错。以后我还会继续买你们的东西。,小巧 键盘 喜欢 系统 不错 东西,pos,"[(0, 0.023908097), (1, 0.023935786), (2, 0.8801472), (3, 0.024045665), (4, 0.0239902), (5, 0.023973033)]",2
我用了2周多的时间，感觉最大的有点就是时间长，看片不卡。常用软件都，至于极品之类的游戏还是台式机比较好，别指望它能帮你。,时间 感觉 时间 不卡 常用软件 极品 游戏 台式机 指望,pos,"[(0, 0.01674678), (1, 0.01679633), (2, 0.017053654), (3, 0.016871672), (4, 0.9155473), (5, 0.016984234)]",4
非常安静，比原来那个5年前买的三星笔记本安静多了。,安静 年前 三星 笔记本 安静,pos,"[(0, 0.34090006), (1, 0.027907107), (2, 0.027986554), (3, 0.027907846), (4, 0.02793601), (5, 0.54736245)]",5
最大特点当然是小巧，三星的作工不用多说。键盘的手感相当好。开机运行状况下很安静，厉害。,小巧 三星 作工 不用 键盘 手感 开机 运行状况 安静 厉害,pos,"[(0, 0.015221401), (1, 0.015220609), (2, 0.015283528), (3, 0.015283802), (4, 0.13036528), (5, 0.8086254)]",5
价格实惠，外观也不错。 ,价格 实惠 外观 不错,pos,"[(0, 0.033445626), (1, 0.03366465), (2, 0.83254665), (3, 0.033476993), (4, 0.033455007), (5, 0.033411104)]",2
我自己用的可以煮鸡蛋的。身边很多朋友都用东芝，耐造、散热好，很多优点。,鸡蛋 身边 朋友 东芝 耐造 散热 优点,pos,"[(0, 0.020909777), (1, 0.020900153), (2, 0.021106755), (3, 0.8949883), (4, 0.02101024), (5, 0.02108477)]",3
大品牌，,品牌,pos,"[(0, 0.5812757), (1, 0.08376788), (2, 0.083706), (3, 0.08345858), (4, 0.08411909), (5, 0.08367272)]",0
品牌机优势，性价比还可以吧，到目前为至运行还算稳定，可进行并不复杂图形处理。,品牌机 优势 性价比 为至 运行 稳定 图形处理,pos,"[(0, 0.020888876), (1, 0.0209496), (2, 0.02104954), (3, 0.8952219), (4, 0.020934904), (5, 0.020955205)]",3
外观简洁大方,外观 简洁 大方,pos,"[(0, 0.041823454), (1, 0.79054934), (2, 0.042249504), (3, 0.041747898), (4, 0.041758545), (5, 0.041871235)]",1
说明书很详细，恢复系统、隐藏分区之类的写得都很明白，外形漂亮，用了一周多了没有发现什么问题，值得购买,说明书 详细 恢复 系统 隐藏 分区 明白 外形 漂亮 一周 发现 值得 购买,pos,"[(0, 0.012102678), (1, 0.012038482), (2, 0.40296236), (3, 0.011998024), (4, 0.011987821), (5, 0.5489107)]",5
外观简洁漂亮、重量也比较轻，配置的话，就大学生而言绝对够用了。,外观 简洁 漂亮 重量 配置 大学生 够用,pos,"[(0, 0.0209123), (1, 0.021024998), (2, 0.8951727), (3, 0.021002125), (4, 0.020909324), (5, 0.020978523)]",2
